Story_body,Question,Answer,Story_flow,Story_type,Question_type
Mia entered the lounge. Chloe entered the lounge. The persimmon is in the container. The container is in the lounge. Mia loves the strawberry. Mia moved the persimmon to the crate. The crate is in the lounge. Chloe exited the lounge. Mia exited the lounge. Chloe entered the study.,Where does Mia think that Chloe searches for the persimmon?,crate,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_alt_loc']",second_order_0_no_tom,second_order_false_belief
Hunter entered the cellar. Nathan entered the cellar. The sweater is in the crate. The crate is in the cellar. Hunter moved the sweater to the bathtub. The bathtub is in the cellar. Nathan exited the cellar. Nathan entered the sunroom. Nathan likes the beans.,Where will Nathan look for the sweater?,bathtub,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits', 'agent_1_reenters_alt_loc']",first_order_1_no_tom,true_belief
Sophia entered the bedroom. Sophia dislikes the strawberry. Hannah entered the bedroom. Sophia exited the bedroom. Jackson entered the bedroom. The pumpkin is in the pantry. The pantry is in the bedroom. Jackson moved the pumpkin to the cupboard. The cupboard is in the bedroom. Jackson dislikes the apple. Hannah exited the bedroom.,Where is the pumpkin really?,cupboard,"['agent_2_enters', 'enter_agent_1', 'agent_2_exits', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",reality,true_belief
Ava entered the TV_room. Owen entered the TV_room. Mason dislikes the slacks. The sweet_potato is in the bottle. The bottle is in the TV_room. Mason hates the cap. Ava moved the sweet_potato to the drawer. The drawer is in the TV_room. Owen exited the TV_room.,Where will Ava look for the sweet_potato?,drawer,"['enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_1_exits']",first_order_0_no_tom,true_belief
Owen entered the porch. Hannah entered the crawlspace. Logan entered the crawlspace. Owen loves the stockings. The scarf is in the drawer. The drawer is in the crawlspace. Logan moved the scarf to the bottle. The bottle is in the crawlspace. Hannah exited the crawlspace.,Where will Logan look for the scarf?,bottle,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits']",first_order_1_no_tom,true_belief
Emily entered the sunroom. Logan entered the sunroom. James entered the sunroom. The slippers is in the bottle. The bottle is in the sunroom. James exited the sunroom. Emily exited the sunroom. Logan moved the slippers to the bathtub. The bathtub is in the sunroom.,Where will James look for the slippers?,bottle,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_1_exits', 'agent_0_moves_obj', 'agent_2_exits']",first_order_1_tom,false_belief
Ava entered the bathroom. Ava loves the undershirt. James entered the bathroom. The pumpkin is in the box. The box is in the bathroom. Ava exited the bathroom. Ava dislikes the gloves. Ava entered the dining_room. James moved the pumpkin to the treasure_chest. The treasure_chest is in the bathroom.,Where does James think that Ava searches for the pumpkin?,box,"['enter_agent_1', 'enter_agent_0', 'agent_1_exits', 'agent_1_reenters_alt_loc', 'agent_0_moves_obj']",second_order_1_tom,true_belief
Nathan entered the office. Ava entered the office. The pajamas is in the basket. The basket is in the office. Ava moved the pajamas to the drawer. The drawer is in the office. Nathan exited the office. Ava exited the office. Nathan entered the office. Aria entered the back_yard. Nathan hates the peas.,Where will Ava look for the pajamas?,drawer,"['enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc', 'agent_2_enters']",first_order_1_no_tom,second_order_false_belief
James entered the attic. Owen is in the attic. Abigail entered the attic. The eggplant is in the bucket. The bucket is in the attic. James dislikes the coat. Abigail moved the eggplant to the basket. The basket is in the attic. Owen exited the attic. Abigail exited the attic. Owen entered the attic.,Where does Owen think that Abigail searches for the eggplant?,basket,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_1_reenters_loc']",second_order_0_no_tom,second_order_false_belief
Owen entered the living_room. Amelia entered the living_room. Hannah entered the living_room. The tangerine is in the pantry. The pantry is in the living_room. Hannah moved the tangerine to the envelope. The envelope is in the living_room. Amelia exited the living_room. Owen exited the living_room. Hannah exited the living_room. Hannah loves the shirt. Amelia entered the TV_room.,Where will Amelia look for the tangerine?,envelope,"['agent_2_enters', 'enter_agent_1', 'enter_agent_0', 'agent_0_moves_obj', 'agent_1_exits', 'agent_0_exits', 'agent_2_exits', 'agent_1_reenters_alt_loc']",first_order_0_no_tom,second_order_false_belief
Jacob entered the study. Ethan entered the study. Elizabeth entered the study. The melon is in the box. The box is in the study. Jacob exited the study. Ethan moved the melon to the envelope. The envelope is in the study. Elizabeth exited the study.,Where is the melon really?,envelope,"['agent_2_enters', 'enter_agent_0', 'enter_agent_1', 'agent_0_moves_obj', 'agent_2_exits', 'agent_1_exits']",reality,true_belief
